"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"11 Atlantic Ave U:UA","Provincetown, MA","02657","2106",2,"1f 0h",770000.00,"11/14/2022",492,,2962.00,1900,"CC",,,,20,720000.00,1565.04,,,"Drop your bags and step outside to relax by the pool! This charming two-bedroom garden-level condo is ideally located in the West End in a small three-unit complex with a swimming pool and comes with one parking space. Enjoy coffee or cocktails on the exclusive deck or stroll to the harbor beach just one block away. This comfortable unit with updated kitchen and bath, stainless appliances and a new AC split system is move-in ready and being offered turn-key excluding artwork and personal items. There is a strong rental history, grossing in excess of $50k for each of the last two years. Coveted location just a short walk to Boatslip, Joe Coffee and all that Provincetown has to offer. Don’t miss this one!","Showings start Saturday afternoon 9/24. Some Fall rentals in place call or text John Dougherty for appt (617) 959-1187. Buyer's Agent must be present at all showings. Buyer, Buyer's Agent and/or Buyer's Legal Counsel to verify any and all property data as this information cannot be guaranteed.",,"AN0471","AN0471","CN228492","TM316777","Barnstable","AN6522","Atlantic Ave",11,0,"Ductless Mini-Split System",,,,,"Electric Baseboard, Ductless Mini-Split System",0,1,,1,0,0,,,,"SLD",11/21/2022 2:24:00 PM,"Financing",3267.00,"2022",,,,490600,,,,9/20/2022 3:06:00 PM,,,,,,"09/20/2022","10/09/2022","09/26/2022","10/09/2022"
"444 Commercial St U:1","Provincetown, MA","02657","2416",3,"3f 0h",1750000.00,"11/15/2022",1815,,5012.00,1850,"CC",,,,5,1750000.00,964.19,,,"spacious duplex condo in the Gallery District occupying the 2nd & 3rd floors of a 3-unit association. Water views from both levels. A modern, wood-burning stove in the main living area completes the checklist for a romantic Cape getaway. High ceilings with exposed beams give the living area a loft-like feel. Exclusive deck facing the water and common garden out back offer 2 options to relax or entertain outside. What's special about this lot is that neighboring buildings are set back from property lines creating an open, airy feeling around the building and a privacy uncommon on Commercial St. Entire space has been renovated including all 3 baths and kitchen, which features a Bertrazzoni gas range and oven, Fisher & Paykel fridge and Bosch dishwasher. Spacious owner closets and storage. In-unit laundry. Parking. Rentals allowed.","Broker makes no warranty as to the accuracy of the information provided. Buyers and their agents advised to do their own due diligence and verify all information. Sewer betterment to become the sole responsibility of the Buyer.",,"H11111","H11111","H1111111","CN221523","Barnstable","AN6145","Commercial St",444,0,"Ductless Mini-Split System",,,,,"Hot Water Baseboard, Oil",0,1,,1,0,0,,,,"SLD",11/16/2022 3:43:00 PM,,7664.48,"2023",,,,1115000,,,,10/4/2022 8:24:00 PM,,,,,,"10/04/2022","10/09/2022","10/09/2022",
"30 Shank Painter U:301","Provincetown, MA","02657",,1,"1f 0h",774900.00,"12/01/2022",616,,7841.00,2021,"CC",,,,74,774900.00,1257.95,,,"Rare opportunity to own new construction in Provincetown with parking. Fantastic central location convenient to Commercial St, the Boatslip, Joe Coffee, Stop & Shop, and Route 6. High end appliances and fixtures. Quality attention to detail is evident throughout. Outlets for cable, power, and ethernet conveniently located for wireless appearance of televisions and hidden wifi routers. The exterior of the building has a classic Cape Cod curb appeal with sustainable landscaping and easy sidewalk access. Get some sun on the large common deck off the second floor with a wet bar, refrigerator, and ice-maker conveniently located just inside. This unit includes parking with option to add a charging station for electric vehicles. The unit is on the third floor with lots of light and charming street views. In-unit washer and dryer. Pets and rentals allowed.","Property has been de-registered from Land Court and can now be recorded with the Barnstable County Registry of Deeds.  All information provided is based on third-party sources. Buyers and their agents should verify all data and info.",,"AN6145","BB5918","CN221523","CN221523","Barnstable","AN6145","Shank Painter",30,0,"Ductless Mini-Split System",,,,,"Ductless Mini-Split System",0,1,,1,0,0,,,,"SLD",12/5/2022 5:39:00 PM,,5494.50,"2022",,,,0,,,,7/18/2022 1:00:00 PM,,,,,,"07/12/2022","09/24/2022","09/24/2022",
"525 Shore Rd U:4","Truro, MA","02652",,1,"1f 0h",295000.00,"11/28/2022",338,,,1950,"CC",,,,14,299000.00,872.78,,,"What a sweet 1 bedroom 1 bath beach cottage to enjoy all of your Cape Cod summers! Convenient first floor, front-facing unit, with private beach access across the street. This delightful unit has beautiful hardwood floors throughout, heightened ceilings that make it feel spacious inside, and peeks of the Cape Cod Bay. Sea Song is an ideal Outer Cape seasonal vacation spot, an enjoyable second home, and could be a great turn-key investment. The kitchen and bath have been upgraded nicely, and high-efficiency mini-split air conditioning systems have been installed. Bring your toothbrush! This unit is currently seasonal, although the association has approved going year-round, and other units in the association have gone year-round already. Two car parking!","Monthly condo fee is $150. Owner pays about $900/year for flood insurance.  All maintenance to this building is shared amongst the 3 owners. Buyers, Buyer Agents and/or the Buyer's Attorney to verify all property data.",,"AN6519","AN6527","CN207911","TM333296","Barnstable","AN6145","Shore Rd",525,0,"Ductless Mini-Split System",,,,,"Electric, Ductless Mini-Split System",0,2,,2,0,0,,,,"SLD",11/28/2022 11:35:00 AM,,1830.00,"2022",,,,236700,,,,10/9/2022 8:50:00 PM,,,,,,"10/07/2022","10/21/2022","10/21/2022",
"785 Route 28 U:8","Yarmouth, MA","02664","5204",2,"1f 1h",340000.00,"11/14/2022",833,,,1955,"CC",,,,19,350000.00,408.16,,,"A free-standing, year round condo unit at Seaview Village Condominiums in South Yarmouth. Convenient location to area attractions and shopping. This adorable condo is everything you need to enjoy life on Cape Cod. Perfect for year round living, your seasonal getaway or an investment. The open floor plan is perfect for family gathering. The living area has a cathedral ceiling with exposed beams, adding so much charm. Newly renovated kitchen is adorable! 2 good sized bedrooms. Laundry in unit. 2 Parking spaces and pets considered with association approval. Furnishings negotiable, some exclusions.","showings must occur when tenants are not in place.",,"AN6188","AN6181","CN235837","CN229641","Barnstable","AN6857","Route 28",785,1,"Heat Pump",,,,,"Other (See Remarks)",0,2,,2,0,0,,,,"SLD",11/14/2022 4:38:00 PM,"Financing",1370.00,"2022",,,,149200,,,,9/13/2022 1:10:00 PM,,,,,,"09/13/2022","10/01/2022","09/17/2022","10/01/2022"
"60 Broadway St U:9","Yarmouth, MA","02673",,2,"1f 0h",262000.00,"11/29/2022",625,,,1980,"CC",,,,17,259000.00,419.20,,,"Look no further for your perfect year-round Cape Cod Condo with views of Nantucket Sound and only steps away from your own private beach! This 2 Bedroom, 1 bath unit offers water views from every room. With some vision and a few minor updates and this place could be very special. Heat and hot water included in condo fee. Laundry on premises (coin operated). The complex is in the process of updating the pool area, tennis/pickle ball courts and front lobby complete with game room, exercise space and coffee/wet bar. You can't beat this location and all that the area has to offer in the summer or all year round! A must see!","",,"A95308","A95308","CN248667","TM323969","Barnstable","AN7141","Broadway St",60,0,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,,"SLD",11/30/2022 6:00:00 PM,"Financing",1665.00,"2022",,,,181400,,,,9/17/2022 6:32:00 PM,,,,,,"09/17/2022","10/03/2022","09/19/2022","10/03/2022"
"15 Manchester Rd U:15","Yarmouth, MA","02675","1429",2,"1f 1h",285000.00,"11/15/2022",900,,,1968,"CC",,,,4,284900.00,316.67,,,"This is a first time home buyer's opportunity to stop paying rent. Come see what you can do to make this property your home.","Call or text Steven Putnam for all showings.508-414-6853. The condominium complex is not FHA approved.",,"AN3349","AN3349","A9502419","A8001160","Barnstable","A95308","Manchester Rd",15,1,"None",,,,,"Forced Air, Gas",0,4,,4,0,0,,,,"SLD",11/15/2022 3:48:00 PM,,1121.00,"2022",,,,122100,,,,6/26/2022 12:54:00 PM,,,,,,"06/26/2022","10/14/2022","10/14/2022",
"6 River Run U:--","Williamstown, MA","01267",,3,"2f 1h",1130000.00,"11/21/2022",2499,,,2021,"CC",,,,1,1130000.00,452.18,,,"River Houses at Cable Mills new construction Condominiums integrate green living and modern design to bring the feeling of the Berkshire wilderness and beauty to your home. Townhome style duplex designs consisting of a total of 14 homes situated along the Green River. Oversized windows, private decks, carefully curated interior selections and efficient appliances have been selected for a custom design.  Upgrade options for finishes including interior elevator, with on site professional management.  Approximately half a mile to shopping, dining, Williams College, and one of the top collegiate golf courses the Taconic Golf Club and in close proximity to skiing, hiking, rafting, museums and and all the Berkshires has to offer.","Please visit www.riverhousesatcm.com or call 413-597-8413 for more information.  Sales center open by appointment for private tours.",,"H11111","H11111","H1111111","CT005936","Berkshire","AN5666","River Run",6,1,"Central Air, Unit Control",,,,,"Forced Air, Gas, Unit Control, Other (See Remarks)",2,2,,0,0,0,,,"Conventional (2x4-2x6)","SLD",11/22/2022 10:15:00 AM,,0.00,"2021",,,,0,,,,7/25/2021 9:04:00 PM,,,,,,"07/25/2021","07/26/2021","07/26/2021",
"4 Daniel Dr U:4","Easton, MA","02356",,3,"1f 1h",392500.00,"11/14/2022",1872,,,1983,"CC",,,,28,415000.00,209.67,,,"Desirable Bay Village Condo! This well cared for condo has been lovingly owned for the past 22 years and is ready for your stamp. The bright dine-in kitchen is spacious and bright with tons of cabinet space and a large bay window. The sprawling living room/dining room combination features a slider out to the back deck and a hearth prepped for a wood stove. On this level, there is also a desk nook and half bath. Upstairs there are two large bedrooms with an equally spacious full bathroom between them. On the third floor there is a third bedroom that could also be a flex space to use as you see fit. The finished basement rounds out the almost 2500 square feet of finished living space with a walk out to the beautifully landscaped backyard. Pictures with furniture, living/dining and main bedroom have been virtually staged. Don't miss this opportunity to live in a fantastic complex tucked away in Easton!","",,"AN7062","AN7061","CN212393","CN212393","Bristol","AN7062","Daniel Dr",4,1,"Central Air",,,,,"Forced Air, Electric",0,2,,2,0,0,,,"Frame","SLD",11/16/2022 10:52:00 AM,"Pending P&S",5405.00,"2022",,,,351200,,,,9/27/2022 3:52:00 PM,,,,,,"09/27/2022","10/24/2022","10/10/2022","10/24/2022"
"7 Indian Cove Way U:7","Easton, MA","02375",,2,"3f 0h",378000.00,"11/28/2022",2595,,,1987,"CC",,,,6,374000.00,145.66,,,"Luxurious and spacious Townhouse. Boasting 3 finished Levels with impressive architectural design, open floor plan & natural light throughout. The chef's kitchen has hardwood floors, recess lights, granite counters w/ island opening to the dining room. Step outside to your private deck overlooking a peaceful backyard. The living room has cathedral ceilings, fireplace & picture window, great for relaxing & entertaining. The master en-suite w/ large walk-in closet, whirlpool tub & stand-up shower. Enormous lower-level w/ walk out is great for a family room or guest room, complete with full bath & laundry room. Newer: Central Air Condenser (2019), Hot Water Tank (2017), Furnace (2015). Exterior renovated 2021, to include: Roof w/Gutters, Siding/Trim, Skylights, Windows/Doors, Composite Deck w/vinyl railing system. Complex has tennis courts. Pets allowed w/restrictions. Easy access to RT 38 & RT 24., walk to Restaurants. Click on the 3D tour attached.","Showings start immediately. Complex not FHA approved. All exterior work completed in 2021 has been rolled into the condo fee. Additional Fridge in the Utility room is staying.",,"AN7060","AN7060","BB809836","CN204201","Bristol","AN5822","Indian Cove Way",7,0,"Central Air",,,,,"Forced Air, Gas",0,2,,2,0,0,,,"Frame","SLD",11/28/2022 1:35:00 PM,,5762.00,"2022",,,,374400,,,,9/27/2022 8:18:00 PM,,,,,,"09/27/2022","10/03/2022","10/03/2022",
